,FC_measure,band,frm,to,r
148,aec,5-gamma,FC_subj02,FC_subj05,0.6302817794128648
149,plv,5-gamma,FC_subj02,FC_subj05,0.7132917609824945
150,aec,1-delta,FC_subj02,FC_subj06,0.6236188059563862
151,plv,1-delta,FC_subj02,FC_subj06,0.7080682109585987
152,aec,2-theta,FC_subj02,FC_subj06,0.5976885249443604
153,plv,2-theta,FC_subj02,FC_subj06,0.7142915373383432
154,aec,3-alfa,FC_subj02,FC_subj06,0.5317466738006668
155,plv,3-alfa,FC_subj02,FC_subj06,0.6913356828383939
156,aec,4-beta,FC_subj02,FC_subj06,0.5590552206787899
157,plv,4-beta,FC_subj02,FC_subj06,0.7113301188564417
158,aec,5-gamma,FC_subj02,FC_subj06,0.5956044130798961
159,plv,5-gamma,FC_subj02,FC_subj06,0.7001830162185599
160,aec,1-delta,FC_subj02,FC_subj07,0.6493897653056407
161,plv,1-delta,FC_subj02,FC_subj07,0.7469422389215606
162,aec,2-theta,FC_subj02,FC_subj07,0.6054592540867455
163,plv,2-theta,FC_subj02,FC_subj07,0.7569406092723682
164,aec,3-alfa,FC_subj02,FC_subj07,0.6394913297921273
165,plv,3-alfa,FC_subj02,FC_subj07,0.7264607276024562
166,aec,4-beta,FC_subj02,FC_subj07,0.6119129397410565
167,plv,4-beta,FC_subj02,FC_subj07,0.7419581241273118
168,aec,5-gamma,FC_subj02,FC_subj07,0.6223338038343609
169,plv,5-gamma,FC_subj02,FC_subj07,0.747402711192649
170,aec,1-delta,FC_subj02,FC_subj08,0.6399840206213993
171,plv,1-delta,FC_subj02,FC_subj08,0.7430029280258794
172,aec,2-theta,FC_subj02,FC_subj08,0.6249962298967567
173,plv,2-theta,FC_subj02,FC_subj08,0.7251567816196256
174,aec,3-alfa,FC_subj02,FC_subj08,0.6334646275725523
175,plv,3-alfa,FC_subj02,FC_subj08,0.7463821097265471
176,aec,4-beta,FC_subj02,FC_subj08,0.610636948582918
177,plv,4-beta,FC_subj02,FC_subj08,0.7584762890456281
178,aec,5-gamma,FC_subj02,FC_subj08,0.6365205614511006
179,plv,5-gamma,FC_subj02,FC_subj08,0.7693294827394636
180,aec,1-delta,FC_subj02,FC_subj09,0.6294211319993435
181,plv,1-delta,FC_subj02,FC_subj09,0.6979971645613595
182,aec,2-theta,FC_subj02,FC_subj09,0.5892004281567711
183,plv,2-theta,FC_subj02,FC_subj09,0.7168363130944877
184,aec,3-alfa,FC_subj02,FC_subj09,0.6308225293626017
185,plv,3-alfa,FC_subj02,FC_subj09,0.7101163930981333
186,aec,4-beta,FC_subj02,FC_subj09,0.6123628648427999
187,plv,4-beta,FC_subj02,FC_subj09,0.7034012303386212
188,aec,5-gamma,FC_subj02,FC_subj09,0.6255329849588275
189,plv,5-gamma,FC_subj02,FC_subj09,0.6728087704094545
190,aec,1-delta,FC_subj02,FC_subj10,0.7002145724796277
191,plv,1-delta,FC_subj02,FC_subj10,0.7565573369123513
192,aec,2-theta,FC_subj02,FC_subj10,0.6523907449713318
193,plv,2-theta,FC_subj02,FC_subj10,0.7759701863684894
194,aec,3-alfa,FC_subj02,FC_subj10,0.6105422592146115
195,plv,3-alfa,FC_subj02,FC_subj10,0.7447033949137973
196,aec,4-beta,FC_subj02,FC_subj10,0.5710765784135196
197,plv,4-beta,FC_subj02,FC_subj10,0.7568180583707926
198,aec,5-gamma,FC_subj02,FC_subj10,0.657562379732432
199,plv,5-gamma,FC_subj02,FC_subj10,0.753738128480393
200,aec,1-delta,FC_subj03,.1973WilsonCowan,-0.027067420565298372
201,plv,1-delta,FC_subj03,.1973WilsonCowan,0.0022574613624951946
202,aec,2-theta,FC_subj03,.1973WilsonCowan,0.01599118789170917
203,plv,2-theta,FC_subj03,.1973WilsonCowan,0.07376965985152235
204,aec,3-alfa,FC_subj03,.1973WilsonCowan,0.05020780634466791
205,plv,3-alfa,FC_subj03,.1973WilsonCowan,0.17567047680163186
206,aec,4-beta,FC_subj03,.1973WilsonCowan,-0.008164520736246784
207,plv,4-beta,FC_subj03,.1973WilsonCowan,0.13654658231934677
208,aec,5-gamma,FC_subj03,.1973WilsonCowan,0.05375048334701513
209,plv,5-gamma,FC_subj03,.1973WilsonCowan,0.04439190862511898
210,aec,1-delta,FC_subj03,FC_subj02,0.5825607078968588
211,plv,1-delta,FC_subj03,FC_subj02,0.6838449403639154
212,aec,2-theta,FC_subj03,FC_subj02,0.5692010359216063
213,plv,2-theta,FC_subj03,FC_subj02,0.6999068507787668
214,aec,3-alfa,FC_subj03,FC_subj02,0.5866601142255626
215,plv,3-alfa,FC_subj03,FC_subj02,0.7039557322683276
216,aec,4-beta,FC_subj03,FC_subj02,0.4190384720961462
217,plv,4-beta,FC_subj03,FC_subj02,0.7073529584802808
218,aec,5-gamma,FC_subj03,FC_subj02,0.5490893753964585
219,plv,5-gamma,FC_subj03,FC_subj02,0.7036823643661823
220,aec,1-delta,FC_subj03,FC_subj03,1.0
221,plv,1-delta,FC_subj03,FC_subj03,1.0
222,aec,2-theta,FC_subj03,FC_subj03,1.0
223,plv,2-theta,FC_subj03,FC_subj03,1.0
224,aec,3-alfa,FC_subj03,FC_subj03,1.0
225,plv,3-alfa,FC_subj03,FC_subj03,1.0
226,aec,4-beta,FC_subj03,FC_subj03,0.9999999999999999
227,plv,4-beta,FC_subj03,FC_subj03,1.0
228,aec,5-gamma,FC_subj03,FC_subj03,0.9999999999999998
229,plv,5-gamma,FC_subj03,FC_subj03,1.0
230,aec,1-delta,FC_subj03,FC_subj04,0.5949905989863913
231,plv,1-delta,FC_subj03,FC_subj04,0.7163860392463997
232,aec,2-theta,FC_subj03,FC_subj04,0.6626389352941399
233,plv,2-theta,FC_subj03,FC_subj04,0.7245995629958111
234,aec,3-alfa,FC_subj03,FC_subj04,0.5488245225949967
235,plv,3-alfa,FC_subj03,FC_subj04,0.7282634840849815
236,aec,4-beta,FC_subj03,FC_subj04,0.4656057471508709
237,plv,4-beta,FC_subj03,FC_subj04,0.7578259149184511
238,aec,5-gamma,FC_subj03,FC_subj04,0.6539127199355512
239,plv,5-gamma,FC_subj03,FC_subj04,0.7375544632633811
240,aec,1-delta,FC_subj03,FC_subj05,0.6683535186569756
241,plv,1-delta,FC_subj03,FC_subj05,0.7663988079193922
242,aec,2-theta,FC_subj03,FC_subj05,0.6779502790795727
243,plv,2-theta,FC_subj03,FC_subj05,0.7501241026343023
244,aec,3-alfa,FC_subj03,FC_subj05,0.6699129842266472
245,plv,3-alfa,FC_subj03,FC_subj05,0.7386615480197432
246,aec,4-beta,FC_subj03,FC_subj05,0.6122629518127924
247,plv,4-beta,FC_subj03,FC_subj05,0.7468430172881018
248,aec,5-gamma,FC_subj03,FC_subj05,0.6297232407401478
249,plv,5-gamma,FC_subj03,FC_subj05,0.746572172613094
250,aec,1-delta,FC_subj03,FC_subj06,0.6196774604866025
251,plv,1-delta,FC_subj03,FC_subj06,0.7222084233206019
252,aec,2-theta,FC_subj03,FC_subj06,0.654822925791749
253,plv,2-theta,FC_subj03,FC_subj06,0.7186239990279879
254,aec,3-alfa,FC_subj03,FC_subj06,0.5791508205412715
255,plv,3-alfa,FC_subj03,FC_subj06,0.723528102656962
256,aec,4-beta,FC_subj03,FC_subj06,0.5618581435099509
257,plv,4-beta,FC_subj03,FC_subj06,0.7371222755111502
258,aec,5-gamma,FC_subj03,FC_subj06,0.6298471147796799
259,plv,5-gamma,FC_subj03,FC_subj06,0.7052243985096945
260,aec,1-delta,FC_subj03,FC_subj07,0.6660771044861586
261,plv,1-delta,FC_subj03,FC_subj07,0.743577687049608
262,aec,2-theta,FC_subj03,FC_subj07,0.7494999268379213
263,plv,2-theta,FC_subj03,FC_subj07,0.7395739073064932
264,aec,3-alfa,FC_subj03,FC_subj07,0.685778545047609
265,plv,3-alfa,FC_subj03,FC_subj07,0.7419367530858856
266,aec,4-beta,FC_subj03,FC_subj07,0.5624186109488875
267,plv,4-beta,FC_subj03,FC_subj07,0.7588140663799903
268,aec,5-gamma,FC_subj03,FC_subj07,0.6936020141324082
269,plv,5-gamma,FC_subj03,FC_subj07,0.7578451444803723
270,aec,1-delta,FC_subj03,FC_subj08,0.6428524538351259
271,plv,1-delta,FC_subj03,FC_subj08,0.7520146211407911
272,aec,2-theta,FC_subj03,FC_subj08,0.6399583282264346
273,plv,2-theta,FC_subj03,FC_subj08,0.7647077695372259
274,aec,3-alfa,FC_subj03,FC_subj08,0.6488797604549084
275,plv,3-alfa,FC_subj03,FC_subj08,0.7517244451107182
276,aec,4-beta,FC_subj03,FC_subj08,0.5896690544137413
277,plv,4-beta,FC_subj03,FC_subj08,0.7532475412348448
278,aec,5-gamma,FC_subj03,FC_subj08,0.6767833627201664
279,plv,5-gamma,FC_subj03,FC_subj08,0.7662234654231398
280,aec,1-delta,FC_subj03,FC_subj09,0.5961751034660301
281,plv,1-delta,FC_subj03,FC_subj09,0.6552892444510153
282,aec,2-theta,FC_subj03,FC_subj09,0.6091355462639227
283,plv,2-theta,FC_subj03,FC_subj09,0.6599297097075895
284,aec,3-alfa,FC_subj03,FC_subj09,0.620790303575333
285,plv,3-alfa,FC_subj03,FC_subj09,0.6221243406885999
286,aec,4-beta,FC_subj03,FC_subj09,0.4892549540217882
287,plv,4-beta,FC_subj03,FC_subj09,0.6610838266214031
288,aec,5-gamma,FC_subj03,FC_subj09,0.653502685206252
289,plv,5-gamma,FC_subj03,FC_subj09,0.6730849121020277
290,aec,1-delta,FC_subj03,FC_subj10,0.61871068831571
291,plv,1-delta,FC_subj03,FC_subj10,0.7195351363793256
292,aec,2-theta,FC_subj03,FC_subj10,0.662858081459005
293,plv,2-theta,FC_subj03,FC_subj10,0.7453490422834488
