ROIabbr,ROI
IP0_R,Area_IntraParietal_0_R
IP1_R,Area_IntraParietal_1_R
IP2_R,Area_IntraParietal_2_R
PF_R,Area_PF_Complex_R
PFm_R,Area_PFm_Complex_R
PFop_R,Area_PF_Opercular_R
PFt_R,Area_PFt_R
PGi_R,Area_PGi_R
PGp_R,Area_PGp_R
PGs_R,Area_PGs_R
23d_R,Area_23d_R
31a_R,Area_31a_R
31pd_R,Area_31pd_R
31pv_R,Area_31p_ventral_R
7m_R,Area_7m_R
d23ab_R,Area_dorsal_23_a+b_R
DVT_R,Dorsal_Transitional_Visual_Area_R
PCV_R,PreCuneus_Visual_Area_R
POS1_R,Parieto-Occipital_Sulcus_Area_1_R
POS2_R,Parieto-Occipital_Sulcus_Area_2_R
ProS_R,ProStriate_Area_R
RSC_R,RetroSplenial_Complex_R
v23ab_R,Area_ventral_23_a+b_R
10r_R,Area_10r_R
10v_R,Area_10v_R
25_R,Area_25_R
33pr_R,Area_33_prime_R
8BM_R,Area_8BM_R
9m_R,Area_9_Middle_R
a24_R,Area_a24_R
a24pr_R,Anterior_24_prime_R
a32pr_R,Area_anterior_32_prime_R
d32_R,Area_dorsal_32_R
p24_R,Area_posterior_24_R
p24pr_R,Area_Posterior_24_prime_R
p32_R,Area_p32_R
p32pr_R,Area_p32_prime_R
pOFC_R,posterior_OFC_Complex_R
s32_R,Area_s32_R
10d_R,Area_10d_R
10pp_R,Polar_10p_R
11l_R,Area_11l_R
13l_R,Area_13l_R
47m_R,Area_47m_R
47s_R,Area_47s_R
a10p_R,Area_anterior_10p_R
OFC_R,Orbital_Frontal_Complex_R
p10p_R,Area_posterior_10p_R
44_R,Area_44_R
45_R,Area_45_R
47l_R,Area_47l_(47_lateral)_R
a47r_R,Area_anterior_47r_R
IFJa_R,Area_IFJa_R
IFJp_R,Area_IFJp_R
IFSa_R,Area_IFSa_R
IFSp_R,Area_IFSp_R
p47r_R,Area_posterior_47r_R
46_R,Area_46_R
8Ad_R,Area_8Ad_R
8Av_R,Area_8Av_R
8BL_R,Area_8B_Lateral_R
8C_R,Area_8C_R
9-46d_R,Area_9-46d_R
9a_R,Area_9_anterior_R
9p_R,Area_9_Posterior_R
a9-46v_R,Area_anterior_9-46v_R
i6-8_R,Inferior_6-8_Transitional_Area_R
p9-46v_R,Area_posterior_9-46v_R
s6-8_R,Superior_6-8_Transitional_Area_R
SFL_R,Superior_Frontal_Language_Area_R
AV_L,Thal_AnteroventralNucleus_L
CeM_L,Thal_Central_medial_L
CL_L,Thal_Central_lateral_L
CM_L,Thal_Centralmedian_L
LD_L,Thal_Laterodorsal_L
LGN_L,Thal_Lateral_Geniculate_L
LP_L,Thal_Lateral_Posterior_L
L-Sg_L,Thal_Limitans_Suprageniculate_L
MDl_L,Thal_Mediodorsolateral_parvocellular_L
MDm_L,Thal_Mediodorsomedial_magnocellular_L
MGN_L,Thal_Medial_Geniculate_L
MV(Re)_L,Thal_Reuniens_L
Pf_L,Thal_Parafascicular_L
PuA_L,Thal_Pulvinar_anterior_L
PuI_L,Thal_Pulvinar_inferior_L
PuL_L,Thal_Pulvinar_lateral_L
PuM_L,Thal_Pulvinar_medial_L
